,OC sampled,OC GP mean,Y,C,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,-1.337812141387961,5.967568214226625,0,0.0,0.0,0.0
1,0.0,0.0,-2.2342140799858314,7.134041106928789,0,0.0,0.0,0.0
2,0.0,0.0,-2.373490924663335,7.150918530218191,0,0.0,0.0,0.0
3,0.0,0.0,-0.7000515888434969,5.309332859631445,0,0.0,0.0,0.0
4,0.0,0.0,-2.143187239188372,7.335943762385118,0,0.0,0.0,0.0
5,0.0,0.0,-4.763442751899966,13.932332600742376,0,0.0,0.0,0.0
6,0.0,0.0,-2.409631094877571,6.72244934241726,0,0.0,0.0,0.0
7,0.0,0.0,-2.400216736950469,7.193325667017848,0,0.0,0.0,0.0
8,0.0,0.0,-1.6499847842332218,7.062457247132639,0,0.0,0.0,0.0
9,0.0,0.0,-3.1156649259241096,9.711461303587194,0,0.0,0.0,0.0
10,0.0,0.0,-2.373490924663335,7.150918530218191,0,0.0,0.0,0.0
11,0.0,0.0,-0.9618100634995064,9.363234739032503,0,0.0,0.0,0.0
12,0.0,0.0,-2.325587328688062,6.736130488636217,0,0.0,0.0,0.0
13,0.0,0.0,-4.560217494543002,10.928170525540036,0,0.0,0.0,0.0
14,0.0,0.0,-2.0859697421998247,9.918868794377335,0,0.0,0.0,0.0
15,0.0,0.0,-1.9192981494749786,8.9386119021433,0,0.0,0.0,0.0
16,0.0,0.0,-2.4805622227922175,8.171308438990003,0,0.0,0.0,0.0
17,0.0,0.0,-3.151085580689737,9.487329864755766,0,0.0,0.0,0.0
18,0.0,0.0,-1.658461032856864,7.1544530874256544,0,0.0,0.0,0.0
19,0.0,0.0,-1.7155015140425807,6.467513265661106,0,0.0,0.0,0.0
20,0.0,0.0,-1.728929751868458,8.280446690080757,0,0.0,0.0,0.0
21,0.0,0.0,-2.128680679149614,7.037356374809809,0,0.0,0.0,0.0
22,0.0,0.0,-1.6448133779467986,6.392711135368423,0,0.0,0.0,0.0
23,0.0,0.0,-2.7113424984654073,7.321873837955837,0,0.0,0.0,0.0
24,0.0,0.0,-1.545697740669009,6.248220730261923,0,0.0,0.0,0.0
25,0.0,0.0,-0.11634387079824388,4.7519176785862545,0,0.0,0.0,0.0
26,0.0,0.0,-3.819349549432151,10.470844098423898,0,0.0,0.0,0.0
27,0.0,0.0,-2.304777571034775,6.677109191307686,0,0.0,0.0,0.0
28,0.0,0.0,-3.069646310014456,11.92731897575452,0,0.0,0.0,0.0
29,0.0,0.0,-2.1021008692033565,7.255820308732889,0,0.0,0.0,0.0
30,0.0,0.0,-2.3482976056830505,6.966943371941665,0,0.0,0.0,0.0
31,0.0,0.0,-2.6165316177079507,7.3585176213987635,0,0.0,0.0,0.0
32,0.0,0.0,-2.8381544500854217,7.333703500705861,0,0.0,0.0,0.0
33,0.0,0.0,-2.9955306088625027,7.512037953704023,0,0.0,0.0,0.0
34,0.0,0.0,-4.5376086329375935,11.050554537531193,0,0.0,0.0,0.0
35,0.0,0.0,-3.67450649015708,10.574073822167035,0,0.0,0.0,0.0
36,0.0,0.0,-2.030601328940234,8.839312718852796,0,0.0,0.0,0.0
37,0.0,0.0,-0.2545903622444867,5.395495100701827,0,0.0,0.0,0.0
38,0.0,0.0,-0.10105783293449008,4.849488344781658,0,0.0,0.0,0.0
39,0.0,0.0,-2.2683525005682355,7.440430213641551,0,0.0,0.0,0.0
40,0.0,0.0,-2.0852790980456657,8.853667299530704,0,0.0,0.0,0.0
41,0.0,0.0,-2.6864015914097967,7.465188116331474,0,0.0,0.0,0.0
42,0.0,0.0,-2.4953117334130197,7.150918530218191,0,0.0,0.0,0.0
43,0.0,0.0,-4.999994678831187,10.63187676110608,0,0.0,0.0,0.0
44,0.0,0.0,-1.8655838876646427,7.037360476439838,0,0.0,0.0,0.0
45,0.0,0.0,-1.9727090007394539,7.201544120337205,0,0.0,0.0,0.0
46,0.0,0.0,-2.055944223638393,7.64313401686092,0,0.0,0.0,0.0
47,0.0,0.0,0.09213551920687894,4.434814959230868,0,0.0,0.0,0.0
48,0.0,0.0,-1.755642316218526,7.135961852598057,0,0.0,0.0,0.0
49,0.0,0.0,-2.2338373523095454,7.355556718796801,0,0.0,0.0,0.0
50,0.0,0.0,-3.7171538713701278,8.341457834573736,0,0.0,-0.0,0.0
51,0.0,0.0,-0.3892993610309071,6.5068571458261735,0,0.0,-0.0,0.0
52,0.0,0.0,-2.9775085069730576,9.360621893094969,0,0.0,-0.0,0.0
53,0.0,0.0,-2.65821771478145,8.63724209608025,0,0.0,-0.0,0.0
54,0.0,0.0,-1.2699652851896186,9.349778178507947,0,0.0,-0.0,0.0
55,0.0,0.0,-1.3932341167713487,7.8041619806396625,0,0.0,-0.0,0.0
56,0.0,0.0,-0.8123026668188125,6.364228889845041,0,0.0,-0.0,0.0
57,0.0,0.0,-1.7129138879973538,9.62785543985455,0,0.0,-0.0,0.0
58,0.0,0.0,-2.679469265573538,7.23398165326663,0,0.0,-0.0,0.0
59,0.0,0.0,-1.0460515385258582,6.7218458035181525,0,0.0,-0.0,0.0
60,0.0,0.0,-0.34994657728574263,7.057627766776156,0,0.0,-0.0,0.0
61,0.0,0.0,-1.2419696645016425,5.750600046833149,0,0.0,-0.0,0.0
62,0.0,0.0,-0.2892098357547646,6.042394374563615,0,0.0,-0.0,0.0
63,0.0,0.0,0.28019874347653095,4.163703722913534,0,0.0,-0.0,0.0
64,0.0,0.0,-0.9605327594603739,5.629128092847971,0,0.0,-0.0,0.0
65,0.0,0.0,-6.630835699835574,12.551294946232517,0,0.0,-0.0,0.0
66,0.0,0.0,-1.0824924704913292,5.522128995876105,0,0.0,-0.0,0.0
67,0.0,0.0,-0.827356000677285,5.512245260523513,0,0.0,-0.0,0.0
68,0.0,0.0,-0.6732370161713651,5.390876748604353,0,0.0,-0.0,0.0
69,0.0,0.0,-1.6565643420207221,7.133360762141075,0,0.0,-0.0,0.0
70,0.0,0.0,-0.6374463335280284,5.638982620888332,0,0.0,0.0,0.0
71,0.0,0.0,-3.01928362599938,7.510913397389986,0,0.0,-0.0,0.0
72,0.0,0.0,-0.2419471920370385,4.726102329256318,0,0.0,-0.0,0.0
73,0.0,0.0,-2.588053466773616,8.477311251753505,0,0.0,-0.0,0.0
74,0.0,0.0,-2.1346071940364504,8.771166075100457,0,0.0,-0.0,0.0
75,0.0,0.0,-2.1332866811492583,6.339732978772852,0,0.0,-0.0,0.0
76,0.0,0.0,-0.5701415958162037,5.645437118338955,0,0.0,0.0,0.0
77,0.0,0.0,-0.4972002355909372,6.581142915286032,0,0.0,-0.0,0.0
78,0.0,0.0,-2.602918226602486,7.3039606560542145,0,0.0,-0.0,0.0
79,0.0,0.0,-1.3937369922933427,5.720311048159361,0,0.0,-0.0,0.0
